fecha;Festivo
1/01/2016;1
8/02/2016;1
9/02/2016;1
24/03/2016;1
25/03/2016;1
2/04/2016;1
1/05/2016;1
25/05/2016;1
17/06/2016;1
20/06/2016;1
8/07/2016;1
9/07/2016;1
15/08/2016;1
10/10/2016;1
28/11/2016;1
8/12/2016;1
9/12/2016;1
25/12/2016;1
1/01/2017;1
27/02/2017;1
28/02/2017;1
24/03/2017;1
2/04/2017;1
13/04/2017;1
14/04/2017;1
1/05/2017;1
25/05/2017;1
17/06/2017;1
20/06/2017;1
9/07/2017;1
14/08/2017;1
9/10/2017;1
27/11/2017;1
8/12/2017;1
25/12/2017;1
1/01/2018;1
12/02/2018;1
13/02/2018;1
24/03/2018;1
29/03/2018;1
30/03/2018;1
2/04/2018;1
30/04/2018;1
1/05/2018;1
25/05/2018;1
17/06/2018;1
20/06/2018;1
9/07/2018;1
20/08/2019;1
15/10/2018;1
19/10/2018;1
8/12/2018;1
25/12/2018;1
31/12/2018;1
1/01/2019;1
4/03/2019;1
5/03/2019;1
24/03/2019;1
2/04/2019;1
18/04/2019;1
19/04/2019;1
1/05/2019;1
25/05/2019;1
17/06/2019;1
20/06/2019;1
8/07/2019;1
9/07/2019;1
17/08/2019;1
19/08/2019;1
12/10/2019;1
14/10/2019;1
18/11/2019;1
8/12/2019;1
25/12/2019;1
1/01/2020;1
24/02/2020;1
25/02/2020;1
23/03/2020;1
24/03/2020;1
31/03/2020;1
9/04/2020;1
10/04/2020;1
1/05/2020;1
25/05/2020;1
15/06/2020;1
20/06/2020;1
9/07/2020;1
10/07/2020;1
17/08/2020;1
12/10/2020;1
23/11/2020;1
7/12/2020;1
8/07/2020;1
25/12/2020;1